Indicator Code,FP index ,LP index ,Vegetal Pds-FS,Cereals -FS,Starchy Rts-FS,Pulses-FS,Fruits -FS,Meat-FS,Fish-FS,Sugar & Swt-FS,Oils-FS ,Vegetables-FS ,Spices-FS,Eggs-FS,Milk-FS,Cereals-LSF,Starchy Rts-LSF,Pulses-LSF,Meat-LSF,Fish-LSF,Cereals-LS,Starchy-LS,Fruits-LS,Energy use,Renewable energy ,GHGEs ,AG land ,Agricultural water share ,Surface temp.,Overweight,Obese,Death-NCD ,Life expectancy 
1961,41.26,51.38,1870,627,90,36,80,335,20,515,276,64,2,67,383,112227,1026,27,19,1737.51,22,807,1339,5612.079503,4.658819977,20.500301,9158.96,32.53301463,0.003,32.12970426,6.811804279,54.340878,70.2385
1962,41.32,51.47,1855,612,87,37,80,338,21,520,270,66,3,68,371,109130,885,23,33,1886.13,18,608,1487,5774.586315,5.140068456,21.089363,9158.96,31.30528857,-0.021,32.15584921,4.469331701,54.5014,70.1035
1963,42.95,53.25,1856,609,90,37,76,349,20,509,278,62,2,67,373,106356,835,28,27,1988.22,6,607,1591,5986.783954,5.407762642,21.444452,9158.96,30.29168321,0.419,32.64759278,5.378997905,54.230904,69.9321
1964,43.5,56.34,1913,615,91,38,79,358,19,525,311,59,3,68,379,104234,616,18,15,2010.08,6,475,1400,6136.93823,5.345071331,21.909975,9158.96,29.98120666,-0.283,32.85706366,5.022937025,54.12427,70.1896
1965,45.36,55.54,1917,616,90,30,79,347,20,533,308,62,3,67,383,119378,979,21,14,1592.65,76,798,1819,6307.890202,4.36887,22.398685,9158.96,29.86560515,-0.357,33.99667409,5.914696139,54.164024,70.2417
1966,46.32,56.78,1953,612,95,29,84,359,22,533,332,62,2,67,386,118495,594,18,19,1798.24,57,1286,1488,6591.340558,4.1714015,23.174135,9158.96,27.86105115,-0.213,34.09299836,5.020456295,54.25288,70.2045
1967,48.67,58.3,1970,616,89,31,82,375,19,544,333,66,3,69,370,118725,952,18,20,2247.71,7,1029,1271,6809.820483916421,4.542216,24.586323,9158.96,28.15160516,0.076,34.84466612,5.90496868,54.12945,70.5187
1968,49.21,58.79,1981,606,92,30,80,382,21,549,337,72,3,68,370,127512,554,3,23,2900.42,85,866,1284,7073.478949308939,4.330974,25.859238,9158.96,26.39265858,-0.075,35.54196619,6.631185948,53.89885,70.2021
1969,49.84,59.12,2053,607,93,38,93,366,20,562,375,65,3,66,371,134937,565,2,22,1727.22,78,1034,1173,7332.368546998427,4.598879,26.192421,9158.96,25.72531145,-0.264,36.14291379,7.237639499,53.557148,70.4785
1970,49.13,60.45,2049,587,96,29,89,367,22,566,390,58,3,67,371,131871,501,3,20,1669.46,57,1088,902,7569.076595205119,4.4008036,27.08202,9158.96,23.98136846,-0.029,37.16497049,8.06288595,53.330788,70.7353
1971,53.34,61.75,2056,591,93,33,92,379,21,574,379,60,3,67,374,143407,462,4,18,1863.21,80,1272,925,7644.524802442442,4.614475,26.828997,9158.96,23.56341855,-0.415,37.45951524,7.892578708,53.633644,71.0957
1972,52.77,62.01,2070,582,93,25,83,376,24,583,405,60,3,66,377,147793,312,5,14,1995.02,106,913,849,7940.997832259787,4.5260477,27.530973,9158.96,22.12538664,-0.251,38.05882818,8.166833013,53.61487,71.172
1973,53.69,59.15,2102,594,92,31,97,352,24,585,396,60,3,62,374,142439,265,4,22,1079.66,36,839,988,8163.603792,4.35476,28.219236,9158.96,22.32066243,-0.015,38.55531053,8.467590472,53.481724,71.3883
1974,52.64,62.37,2082,590,93,27,95,370,23,568,407,63,3,61,362,105653,319,7,22,1111.89,112,1480,975,7909.586479560821,4.9028654,27.117777,9158.96,22.46765978,0.079,39.17226188,9.196281399,53.17315,71.9499
1975,56.78,62.26,2125,617,94,32,101,351,20,547,406,63,3,60,354,117069,295,5,20,1320.26,59,1012,1055,7656.263579243701,5.0069757,26.114162,9158.96,24.83757144,-0.393,40.17264262,10.56317272,52.199482,72.5337
1976,58.19,66.29,2221,637,95,27,98,375,29,573,469,61,3,58,363,115062,409,4,22,1506.37,99,1197,1293,8100.562222,4.5527077,27.133245,9158.96,24.93878045,-0.13,41,11.7,51.925537,72.8339
1977,60.21,66.03,2190,624,93,27,100,376,28,584,451,64,3,58,362,122945,439,13,25,1134.45,101,1417,1075,8285.570897979012,3.549314,27.654982,9158.96,23.21290565,0.394,41.6,12.1,51.51235,73.2152
1978,60.7,65.04,2209,615,91,29,100,373,29,572,471,65,3,59,363,139153,421,12,26,1223.92,86,1568,1276,8438.403077476021,4.3275704,27.469376,9158.96,22.18780518,0.039,42.2,12.4,50.94554,73.397
1979,63.43,63.64,2258,646,89,31,107,380,29,574,469,67,4,60,364,142668,407,11,22,1533,238,1373,1125,8327.041705360913,4.2914057,27.580914,9158.96,24.20690506,-0.298,42.8,12.7,50.31959,73.8202
1980,60.91,65.45,2212,644,86,28,114,389,28,556,479,62,4,59,358,127548,262,13,13,1109.51,265,1059,1229,7942.2530179337655,4.4192214,26.4736,9158.96,23.981949,0.413,43.4,13.1,49.920975,73.7172
1981,65.91,66.85,2258,650,89,24,105,389,29,548,484,61,4,58,359,133341,246,13,12,1092.56,307,1201,1088,7647.538053567849,4.336748,25.705818,9158.96,25.142729,0.871,44,13.5,49.428886,74.1052
1982,66.72,66.52,2246,654,88,29,103,377,27,539,498,68,4,58,362,145971,417,9,6,1563.59,241,1415,1696,7259.078898749914,5.256712,24.304558,9158.96,26.285162,-0.34,44.7,13.9,49.2482,74.4526
1983,57.79,68.56,2251,640,90,28,109,389,29,541,505,63,4,57,372,131693,247,14,2,1357.57,246,1127,1237,7199.118532712839,5.684815,23.842764,9158.96,27.409681,0.533,45.3,14.3,48.837734,74.5432
1984,65.43,68.53,2284,650,93,22,114,391,31,547,509,67,5,56,379,142685,288,5,3,1580.92,241,1371,1051,7443.320016961729,5.334361,24.681072,9158.96,28.516703,-0.229,46,14.8,47.964394,74.6658
